nome_processo,"Ecotoxicity, freshwater impact","Human toxicity, cancer impact",Climate change impact,"Human toxicity, non-cancer impact","Resource use, fossils impact","Resource use, minerals and metals impact",Water use impact,Land use impact,"Eutrophication, freshwater impact",EF-particulate Matter impact,Photochemical ozone formation - human health impact,Acidification impact,"Eutrophication, terrestrial impact",Eutrophication marine impact,Ozone depletion impact,"Ionising radiation, human health impact",categoria
"Ethylene propylene diene monomer (EPDM), petrochemical",3.950508727372407e-09,9.457839290455903e-10,1.4621063819870994e-09,3.5098278157720367e-10,5.369617942646792e-09,8.646429049585848e-09,1.1538510877614156e-09,2.3920156175664944e-11,2.2906188162551473e-10,2.65572461073583e-09,3.429860898013715e-09,5.075508178715684e-09,2.1146519608448785e-09,2.850273924897686e-10,6.669182932714421e-09,1.3553354688153132e-09,Plastica & polimeri
"AlcoholEthoxylate (petro) production, 3 moles EO, black box",2.444171293583747e-10,4.209525821617189e-10,1.2405069816007652e-09,1.9034557476682257e-10,5.193283598096258e-09,2.5290548713156163e-09,1.5258276065774784e-09,4.218526228624826e-11,5.088173166545314e-10,9.473688682747437e-10,2.635804495619797e-09,2.3162335895018475e-09,8.373034545152559e-10,1.104533978014905e-10,1.7914413525505297e-09,1.8460969327069414e-09,Plastica & polimeri
"phenol production, black box",7.271376616326266e-10,4.908956803976218e-09,1.2412734760881694e-09,1.5596406219201442e-10,5.442009654481939e-09,1.5078458651658346e-09,1.4933983224090576e-09,2.0695528707744282e-11,3.0077813740951745e-10,7.293077607660081e-10,3.0133918479901677e-09,2.251063960236465e-09,7.578765330651165e-10,1.0132329049321649e-10,2.9912477236259743e-08,2.2189668853953054e-09,"Carta, legno & imballaggi"
flocking,1.6492628305554478e-09,7.152806963195919e-10,2.0396645313605257e-09,2.9504368450828313e-10,3.440060887924766e-09,7.662487269133659e-10,4.880521872659188e-09,4.654170650336861e-11,4.278775304496091e-11,5.5358969414523855e-09,3.1868404763804568e-09,5.873682092323023e-09,1.9974834012076484e-09,2.8151359909909744e-10,6.882302906832763e-09,4.781150188396745e-09,Altro
Aluminium die-casting,1.759443575192702e-09,2.337828724040501e-11,1.607224722636338e-10,5.404765551242311e-12,4.0465890449253623e-10,6.499055922183106e-12,1.0374840422845467e-09,3.1679066022703907e-12,2.1009500927233386e-13,4.176838662474104e-11,1.1219236498375767e-10,1.5017688255707372e-10,7.246593255356061e-11,9.743376758872584e-12,8.40071519119998e-11,2.6787550825355674e-09,Metalli & minerali
diethylene glycol production,2.9614498440243956e-10,2.543825157464733e-10,1.0869764385594035e-09,1.528003599798035e-10,4.061435257474805e-09,1.7840750327188158e-09,2.471687631553451e-09,2.8564051224803013e-11,3.54853416866926e-10,8.861219893780199e-10,1.5544679726706915e-09,2.0076083793998743e-09,6.780203942553884e-10,9.06687959866145e-11,5.243814568658264e-10,3.957326678570375e-09,Chimica & additivi
Anorthosite Mining and Beneficiation,8.94900453031294e-11,4.221278025400337e-10,7.914352887931441e-10,2.5755220659255827e-11,1.7912866595003847e-09,3.4240415468313154e-11,3.451493718309846e-11,2.9463607885673793e-12,4.110041581685885e-13,1.1082984678220389e-10,6.485186419977021e-10,4.849054372157693e-10,4.1576209971999897e-10,5.549562408290301e-11,2.98066084794457e-13,1.1560756488921358e-10,Metalli & minerali
"argon, liquid production",7.570950020522458e-10,4.039686666511859e-10,1.2207169464455075e-09,1.409390735033471e-10,2.385697252959439e-09,9.105335753931908e-11,4.630444450688359e-09,2.1290656286863234e-11,8.345428082234971e-12,2.3496873657528288e-09,1.601135992534783e-09,3.702965503655008e-09,9.780778244277438e-10,1.3157167087405204e-10,1.1136664301473601e-09,4.9003510150138495e-09,Chimica & additivi
Diabase (mining),8.882505101404697e-11,4.2261831299881707e-10,7.912005524369855e-10,2.5729898380050214e-11,1.7923089793917383e-09,3.415972734621137e-11,3.0946930317560316e-11,2.8769195806419897e-12,4.04914316585632e-13,1.0545632002821902e-10,6.393987809869948e-10,4.78923847396974e-10,4.09991731438194e-10,5.472255677611925e-11,8.988742103865989e-14,1.0946965802085074e-10,Metalli & minerali
Plastic granulate secondary (low metal contamination),7.610626634054828e-11,1.9036628565237116e-11,2.941437995821992e-10,1.7732976110059223e-11,2.2983666491752587e-10,1.2795943413812171e-11,5.029400763856438e-10,8.910994692815239e-12,6.811475832299615e-12,4.373809525026816e-11,1.0098810770888978e-10,1.474643495625367e-10,7.344633978925171e-11,1.0149181302345373e-11,4.6853426074304787e-11,1.574877751019227e-09,Plastica & polimeri
magnetite production,2.6649216960427734e-10,2.3852245490306317e-10,3.659929250728354e-10,2.820598055378082e-10,7.688735281750706e-10,1.6304782571692155e-09,1.2853358968516532e-09,2.458013369648647e-11,3.28063629309597e-10,4.1972592756741963e-10,4.733238601193523e-10,8.860464614556674e-10,3.181658705131531e-10,4.2141456133728716e-11,1.7240681828904898e-07,2.9311956635445157e-09,Chimica & additivi
Fluorite (mining),2.123858966646462e-10,4.6041998816373747e-10,8.980621356669001e-10,4.498885382553298e-11,1.960995869251898e-09,3.642660327163181e-11,2.0194085547330777e-10,3.3365955511150774e-12,4.848570510558961e-13,1.658274323157245e-08,8.52023039423033e-10,1.2328500058450488e-09,5.259338723036607e-10,7.030803498498836e-11,8.765854190072617e-13,1.5068657597099578e-10,Metalli & minerali
"Ethoxylated alcohol (AE7) production, petrochemical",2.812508445003901e-10,3.7229371170551004e-10,1.244553145734536e-09,1.8395506223008218e-10,4.945460535819207e-09,2.309411443735445e-09,1.7610009033250616e-09,3.7369850018395805e-11,4.629687555813031e-10,9.638677947504976e-10,3.0138804639436517e-09,2.3508926950878226e-09,8.429001386123908e-10,1.1132418772100002e-10,1.372384529189985e-09,2.300508722544535e-09,Plastica & polimeri
